Num,Mt,Ad,Vdaf,"St,d",Hdaf,Cdaf,Odaf,Ro,V9-V13,G,X,Y,CRI,CSR
3_37,,13.3,21.6,,,,,1.04,84,,,,27.1,59.4
3_38,,13.6,22,,,,,1.03,84,,,,27.6,62.7
3_39,,13.1,21.8,,,,,1.04,86,,,,25.5,62.8
3_40,,11.9,22.7,,,,,1.13,88,,,,29.3,57.4
3_41,,15.1,26.5,,,,,0.95,69,,,,31.9,47.3
3_42,,14.1,24.2,,,,,1.06,90,,,,25,64
3_43,,9,20.6,,,,,1.24,88,,,,30,58.3
3_44,,13.2,22.9,,,,,1.11,89,,,,27.5,64.3
3_45,,13.3,22.4,,,,,1.13,86,,,,27.6,59.6
3_46,,7.7,21.5,,,,,1.27,73,,,,35.6,42.9
3_47,,12.4,22.3,,,,,1.13,87,,,,29.2,61.8
3_48,,13.9,20.9,,,,,1.22,63,,,,28.1,52.3
3_49,,15.5,22.5,,,,,1.12,82,,,,30.7,53.1
3_50,,10.1,21,,,,,1.22,88,,,,33.9,51.1
3_51,,12.4,26.3,,,,,1.01,72,,,,33.3,52.2
3_52,,11.6,24.1,,,,,1.08,87,,,,36.8,49.6
3_53,,11.6,20.7,,,,,1.24,64,,,,30.3,52
3_54,,9.1,21.5,,,,,1.2,89,,,,32,57.5
3_55,,8.1,25.5,,,,,1.09,63,,,,39.6,50
3_56,,10.6,23.1,,,,,1.12,78,,,,34.1,50.5
3_57,,14,22.8,,,,,1.1,88,,,,27.3,62.7
3_58,,9.2,20.5,,,,,1.22,88,,,,33.3,57.8
3_59,,8.5,24.7,,,,,1.12,68,,,,33.4,46.6
3_60,,8.5,23.8,,,,,1.15,65,,,,32.9,46.4
3_61,,10.1,20.9,,,,,1.22,88,,,,33.7,55.6
3_62,,9.1,20.1,,,,,1.25,85,,,,28.6,56.2
3_63,,14,28.3,,,,,0.93,62,,,,30.8,43.7
3_64,,11.9,25.2,,,,,1.06,72,,,,31.4,52.9
3_65,,9.3,19,,,,,1.33,61,,,,29.9,55
3_66,,13.2,22.3,,,,,1.15,70,,,,33.6,49.5
3_67,,12.1,23.3,,,,,1.11,88,,,,28.2,58.8
3_68,,10.4,23.3,,,,,1.11,74,,,,33.9,48.8
2_1,,5.61,38.02,,,,,0.73,,,,,60.2,24.7
2_2,,7.73,35.2,,,,,0.77,,,,,58.7,23.8
2_3,,7.41,33.58,,,,,0.79,,,,,45.5,38.8
2_4,,5.9,31.7,,,,,0.8,,,,,53.7,26.5
2_5,,4.63,33.53,,,,,0.81,,,,,58.6,38.1
2_6,,6.57,32.12,,,,,0.83,,,,,50,34.7
2_7,,7.05,32.01,,,,,0.85,,,,,48.1,35.1
2_8,,7.32,34.05,,,,,0.86,,,,,44.4,43.6
2_9,,7.64,31.93,,,,,0.87,,,,,43.06,40.6
2_10,,6.91,32.43,,,,,0.89,,,,,44,40
2_11,,8.84,33.91,,,,,0.9,,,,,51.1,30.8
2_12,,7.73,32.83,,,,,0.91,,,,,50.3,38
2_13,,5.01,30.34,,,,,0.92,,,,,50.7,32.7
2_14,,6.09,30.1,,,,,0.92,,,,,44.9,43.8
2_15,,6.76,30.41,,,,,0.92,,,,,47.1,35.1
2_16,,6.57,29.88,,,,,0.92,,,,,45.4,39
2_17,,7.25,29.11,,,,,0.92,,,,,40.2,44.6
2_18,,6.74,29.15,,,,,0.96,,,,,40.5,45.2
2_19,,6.11,28.53,,,,,0.99,,,,,37.3,48.1
2_20,,7.44,27.41,,,,,1.01,,,,,30.2,58.1
2_21,,6.88,27.55,,,,,1.01,,,,,36.7,50.4
2_22,,6.22,27.24,,,,,1.02,,,,,40.9,43.3
2_23,,6.23,27.82,,,,,1.07,,,,,26.8,65
